City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tagta,41.6504,59.9164,33.63,22,18,5.39,TM,1717992415
1,kyshtovka,56.555,76.6271,18.52,62,100,4.47,RU,1717992415
2,puerto aysen,-45.4,-72.7,6.98,100,100,0.22,CL,1717992415
3,illizi,26.4833,8.4667,30.45,8,0,4.64,DZ,1717992415
4,yellowknife,62.456,-114.3525,12.31,58,99,2.31,CA,1717992416
5,saipan,15.1355,145.701,32.39,66,40,6.69,MP,1717992416
6,whitehorse,60.7161,-135.0538,22.23,28,80,4.47,CA,1717992416
7,lulea,65.5842,22.1547,10.04,87,75,1.54,SE,1717992416
8,edinburgh of the seven seas,-37.0676,-12.3116,12.33,71,84,10.63,SH,1717992416
9,narasannapeta,18.4167,84.05,34.28,49,100,3.53,IN,1717992416
10,port-aux-francais,-49.35,70.2167,3.27,82,88,13.89,TF,1717992417
11,pochep,52.9336,33.4464,15.57,83,98,3.61,RU,1717992417
12,formby,53.5536,-3.0682,10.16,91,74,4.38,GB,1717992417
13,tanjungtiram,4.0613,98.3699,30.03,67,100,2.59,ID,1717992417
14,aras-asan,8.8908,126.3033,29.12,72,98,2.82,PH,1717992417
15,margaret river,-33.95,115.0667,16.64,56,100,10.71,AU,1717992174
16,alice springs,-23.7,133.8833,22.75,25,0,2.57,AU,1717992418
17,boa vista,2.8197,-60.6733,24.99,94,40,0.0,BR,1717992418
18,rawson,-43.3002,-65.1023,9.85,67,6,3.82,AR,1717992418
19,taro,-8.3862,115.28,25.0,75,75,0.79,ID,1717992418
20,tiksi,71.6872,128.8694,2.69,83,67,3.28,RU,1717992418
21,bethel,41.3712,-73.414,16.47,87,20,0.45,US,1717992366
22,adrar,20.5022,-10.0711,30.75,33,6,4.97,MR,1717992419
23,grytviken,-54.2811,-36.5092,-7.4,77,21,4.73,GS,1717992419
24,saint-philippe,-21.3585,55.7679,21.17,85,49,4.79,RE,1717992419
25,puerto natales,-51.7236,-72.4875,1.29,99,100,1.71,CL,1717992419
26,yulinshi,38.2906,109.7494,30.4,17,31,4.23,CN,1717992419
27,khanty-mansiysk,61.0042,69.0019,20.06,45,0,2.0,RU,1717992420
28,lompoc,34.6391,-120.4579,16.55,85,100,4.92,US,1717992131
29,arrifana,40.9156,-8.4966,16.74,92,96,0.93,PT,1717992420
30,haiku-pauwela,20.9219,-156.3051,25.7,70,40,10.29,US,1717992420
31,ghanzi,-21.5667,21.7833,7.11,77,18,4.69,BW,1717992420
32,columbia,34.0007,-81.0348,25.8,75,0,1.54,US,1717992170
33,pisco,-13.7,-76.2167,17.03,88,100,1.54,PE,1717992421
34,xiongzhou,25.1167,114.3,26.4,94,100,1.2,CN,1717992421
35,chunskiy,56.0815,99.6342,18.71,46,12,3.48,RU,1717992421
36,hermanus,-34.4187,19.2345,11.0,73,1,4.88,ZA,1717992421
37,xining,36.6167,101.7667,18.34,43,100,2.03,CN,1717992421
38,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,75,75,5.81,RU,1717992421
39,wailua homesteads,22.0669,-159.378,29.24,76,75,6.69,US,1717992422
40,bredasdorp,-34.5322,20.0403,9.59,88,4,1.74,ZA,1717992422
41,makurazaki,31.2667,130.3167,21.94,87,100,3.05,JP,1717992422
42,kailua-kona,19.6406,-155.9956,26.98,79,75,3.09,US,1717992422
43,howrah,22.5892,88.3103,35.0,63,20,4.12,IN,1717992422
44,blackmans bay,-43.0167,147.3167,11.4,60,7,0.45,AU,1717992422
45,iqaluit,63.7506,-68.5145,-0.17,68,3,4.47,CA,1717992409
46,zermatt,46.0213,7.7491,8.98,99,100,3.1,CH,1717992423
47,piatykhatky,48.4133,33.7106,20.49,61,91,3.51,UA,1717992423
48,port mathurin,-19.6833,63.4167,23.76,83,68,9.91,MU,1717992423
49,novosergiyevka,52.0934,53.6528,21.81,61,3,1.05,RU,1717992197
50,trifesti,47.45,27.5167,20.53,89,6,0.14,RO,1717992423
51,afaahiti,-17.75,-149.2833,23.93,91,100,8.19,PF,1717992423
52,tai'an,36.1853,117.12,37.71,14,2,3.63,CN,1717992424
53,longfeng,46.55,125.1167,25.72,33,99,6.4,CN,1717992424
54,georgetown,5.4112,100.3354,31.96,66,20,2.06,MY,1717992424
55,waitangi,-43.9535,-176.5597,13.79,97,100,2.68,NZ,1717992424
56,ust-nera,64.5667,143.2,14.5,28,55,0.22,RU,1717992424
57,albany,42.6001,-73.9662,15.13,79,95,0.45,US,1717992200
58,qamdo,31.1667,97.2333,17.6,34,32,2.23,CN,1717992424
59,mahdishahr,35.7108,53.3556,25.39,13,46,1.53,IR,1717992425
60,okha,53.5739,142.9478,9.58,89,99,4.47,RU,1717992425
61,minas de marcona,-15.2119,-75.1103,11.49,89,50,2.26,PE,1717992425
62,ribeira grande,38.5167,-28.7,17.1,86,93,2.24,PT,1717992425
